externalId,name,assetExternalId,is_string,is_step,unit,description
ts_n1_w1_oil_rate,N1-W1 Oil Rate,n1_w1,false,false,bbl/d,""
ts_n1_w1_gas_rate,N1-W1 Gas Rate,n1_w1,false,false,MMscf/d,""
ts_n1_w1_water_rate,N1-W1 Water Rate,n1_w1,false,false,bbl/d,""
ts_n1_w1_gas_lift_injection_rate,N1-W1 Gas Lift Injection Rate,n1_w1,false,false,MMscf/d,""
ts_n1_w1_wh_tubing_pressure,N1-W1 WH Tubing Pressure,n1_w1,false,false,psi,""
ts_n1_w1_wh_casing_pressure,N1-W1 WH Casing Pressure,n1_w1,false,false,psi,""
ts_n2_w1_oil_rate,N2-W1 Oil Rate,n2_w1,false,false,bbl/d,""
ts_n2_w1_gas_rate,N2-W1 Gas Rate,n2_w1,false,false,MMscf/d,""
ts_n2_w1_water_rate,N2-W1 Water Rate,n2_w1,false,false,bbl/d,""
ts_n2_w1_gas_lift_injection_rate,N2-W1 Gas Lift Injection Rate,n2_w1,false,false,MMscf/d,""
ts_n2_w1_wh_tubing_pressure,N2-W1 WH Tubing Pressure,n2_w1,false,false,psi,""
ts_n2_w1_wh_casing_pressure,N2-W1 WH Casing Pressure,n2_w1,false,false,psi,""
ts_s1_w1_oil_rate,S1-W1 Oil Rate,s1_w1,false,false,bbl/d,""
ts_s1_w1_gas_rate,S1-W1 Gas Rate,s1_w1,false,false,MMscf/d,""
ts_s1_w1_water_rate,S1-W1 Water Rate,s1_w1,false,false,bbl/d,""
ts_s1_w1_gas_lift_injection_rate,S1-W1 Gas Lift Injection Rate,s1_w1,false,false,MMscf/d,""
ts_s1_w1_wh_tubing_pressure,S1-W1 WH Tubing Pressure,s1_w1,false,false,psi,""
ts_s1_w1_wh_casing_pressure,S1-W1 WH Casing Pressure,s1_w1,false,false,psi,"" 
